FileName, CommitSha
Parsers\Sample\NetworkSessionCheckPoint.json,24910b15bebe1d1bb1b3c91fe455901c23152a8f
Parsers\Sample\FileEventMicrosoftSysmonFileCreated.json,f9625dd8bd3c1e6a65365086106617d872ac7e01
Workbooks\Sample\ZscalerThreats_ARM.json,f06afd158bc092bbca88d7c1c828733bd29c7f46
Workbooks\Sample\M365SecurityPosture_ARM.json,2e53456c9523391b6f8c1aaa36dbfcf1aa07a91d
Detections\Sample\MalformedUserAgents.json,ee6bc4e38e526f390b1936c568cf54dba43c2e9f
Detections\Sample\imProcess_NOBELIUM_SuspiciousRundll32Exec.json,0ac47f62be8d0fe9152367ac42415cb52bd14ae4
Detections\Sample\PaloAlto-PortScanning.json,2c192f812fefe77f21c705f233952461c0b149d7
Workbooks\Sample\ForcepointCloudSecuirtyGatewayworkbook_ARM.json,c3fd4900b9ad84e3c0686c80f924565e11c46010
Hunting\Sample\SQL-MultipleFailedLogon_InShortSpan.json,c6c82b52feb50d692d61bcb5f4d08a83df51f5c9
Workbooks\Sample\ProofpointTAP_ARM.json,7d2a08187260c6801a87be996b6015da07816255
Detections\Sample\PasswordSpray.json,9190e34e9b54db53303efe49488cf5cf8c245b1c
Hunting\Sample\ProofpointPODLargeOutboundEmails.json,54e4ec40318f2679453051a79fb0e808fb4cec72
Workbooks\Sample\CyberArkEPV_ARM.json,ac044f4db0b697503401272b4e1ed7a4ee6d5dcb
Parsers\Sample\ASimAuthenticationAWSCloudTrail.json,a795e0511abcb9e6ac1d10565145353228b7b51b
Parsers\Sample\ProcessEventMicrosoftSysmonTerminate.json,1824395fcf34554b522d20bb615e98c373db202f
Workbooks\Sample\AzureActiveDirectorySignins_ARM.json,cbe819b3555f64d43379137c21a3fd93293a37c0
Hunting\Sample\Unusual Number of Repository Clones.json,a7fd6e5af17a6a6bb996853436acdccc0be46e07
Hunting\Sample\NewBotAddedToTeams.json,41f0b5c52c2be62be0db85c719ce1097ee436359
Parsers\Sample\ASimDnsMicrosoftOMS.json,f224a753c043592e33aeff6a9850c91040f847cb
Workbooks\Sample\TrendMicroDeepSecurityAttackActivity_ARM.json,3af59a0e00935c448b6322cf5ac9faa445d444c4
Hunting\Sample\imProcess_Certutil-LOLBins.json,7b52d417c205c0630de7f4724851c31fe0ef987f
